Borough,Neighborhood,Season,Day_of_Week,Time_Bucket,Avg_Complaints_Per_Week,Std_Complaints,Num_Weeks
BRONX,Central Bronx,Fall,5,evening,34.38461538461539,17.567850484033915,78
BRONX,Central Bronx,Fall,5,morning,7.454545454545454,4.767062028416991,77
BRONX,Central Bronx,Fall,5,night,54.756410256410255,35.599206870428034,78
BRONX,Central Bronx,Fall,5,overnight,14.428571428571429,10.37130222172877,77
BRONX,Central Bronx,Fall,6,afternoon,18.935897435897434,9.602948334580203,78
BRONX,Central Bronx,Fall,6,evening,33.58974358974359,24.4792177414251,78
BRONX,Central Bronx,Fall,6,morning,11.743589743589743,7.361599024202565,78
BRONX,Central Bronx,Fall,6,night,55.833333333333336,42.935898057352226,78
BRONX,Central Bronx,Fall,6,overnight,24.0,16.42298041508562,78
BRONX,Central Bronx,Spring,0,afternoon,10.527472527472527,5.455559161362451,91
BRONX,Central Bronx,Spring,0,evening,20.296703296703296,16.92893283077131,91
BRONX,Central Bronx,Spring,0,morning,5.694117647058824,3.2257281548282313,85
BRONX,Central Bronx,Spring,0,night,31.725274725274726,31.078061549039855,91
BRONX,Central Bronx,Spring,0,overnight,10.777777777777779,15.075672625743827,90
BRONX,Central Bronx,Spring,1,afternoon,10.87912087912088,5.246872433142465,91
BRONX,Central Bronx,Spring,1,evening,21.263736263736263,15.295486018819163,91
BRONX,Central Bronx,Spring,1,morning,5.224719101123595,2.941678590798597,89
BRONX,Central Bronx,Spring,1,night,22.186813186813186,17.385122687012906,91
BRONX,Central Bronx,Spring,1,overnight,4.181818181818182,2.7773528062240014,88
BRONX,Central Bronx,Spring,2,afternoon,9.780219780219781,5.286885657091513,91
BRONX,Central Bronx,Spring,2,evening,19.24175824175824,13.30859426531147,91
BRONX,Central Bronx,Spring,2,morning,4.8604651162790695,2.4931095193030326,86
BRONX,Central Bronx,Spring,2,night,20.67032967032967,14.2953410787143,91
BRONX,Central Bronx,Spring,2,overnight,4.4772727272727275,3.2055170570324236,88
BRONX,Central Bronx,Spring,3,afternoon,10.455555555555556,4.949545685906829,90
BRONX,Central Bronx,Spring,3,evening,21.633333333333333,14.459124874446289,90
BRONX,Central Bronx,Spring,3,morning,5.122222222222222,2.262681007857902,90
BRONX,Central Bronx,Spring,3,night,23.333333333333332,19.252316364356222,90
BRONX,Central Bronx,Spring,3,overnight,4.640449438202247,4.477842395951719,89
BRONX,Central Bronx,Spring,4,afternoon,12.9,6.9799874440503915,90
BRONX,Central Bronx,Spring,4,evening,26.233333333333334,19.28674808477036,90
